SNo,Country,Confirmed,Deaths,Recovered
1546,US,2,0,2
1547,US,2,0,0
1548,US,2,0,0
1549,US,2,0,0
1559,US,1,0,0
1560,US,1,0,0
1561,US,1,0,0
1562,US,1,0,0
1563,US,1,0,0
1564,US,1,0,1
1565,US,1,0,0
1566,Mainland China,58182,1696,6639
1567,Mainland China,1316,2,465
1568,Mainland China,1231,13,440
1569,Mainland China,1167,0,456
1570,Mainland China,1004,3,464
1571,Mainland China,962,6,255
1572,Mainland China,925,1,240
1573,Mainland China,617,0,218
1574,Mainland China,551,5,207
1575,Mainland China,537,2,173
1576,Mainland China,481,3,131
1577,Mainland China,445,11,79
1578,Mainland China,380,4,108
1580,Mainland China,328,1,140
1581,Mainland China,300,3,105
1582,Mainland China,287,0,82
1583,Mainland China,237,2,49
1584,Mainland China,236,0,71
1585,Mainland China,171,0,42
1586,Mainland China,162,4,52
1587,Mainland China,144,1,46
1588,Mainland China,129,0,50
1589,Mainland China,124,3,45
1590,Mainland China,121,1,40
1591,Mainland China,90,2,54
1592,Mainland China,89,1,30
1594,Mainland China,71,1,12
1595,Mainland China,70,0,8
1596,Mainland China,70,0,33
1600,South Korea,29,0,9
1603,Mainland China,18,0,13
1621,US,2,0,2
1622,US,2,0,0
1623,US,2,0,0
1624,US,2,0,0
1630,Mainland China,1,0,1
1634,US,1,0,0
1635,US,1,0,0
1636,US,1,0,0
1637,US,1,0,0
1638,US,1,0,0
1639,US,1,0,1
1640,US,1,0,0
1641,Mainland China,59989,1789,7862
1642,Mainland China,1322,4,524
1643,Mainland China,1246,16,509
1644,Mainland China,1171,0,507
1645,Mainland China,1006,3,498
1646,Mainland China,973,6,280
1647,Mainland China,930,1,275
1648,Mainland China,626,0,258
1649,Mainland China,553,5,225
1650,Mainland China,541,2,191
1651,Mainland China,495,3,156
1652,Mainland China,457,11,85
1654,Mainland China,381,4,114
1655,Mainland China,333,1,161
1656,Mainland China,301,3,122
1657,Mainland China,290,0,90
1658,Mainland China,240,0,79
1659,Mainland China,238,2,53
1660,Mainland China,171,0,47
1661,Mainland China,163,4,59
